_writer,class,threshold,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
1,Atelectasis,0.46991127729415894,0.6,0.9963592233009696,0.009269988412514482,0.10716616629682808,0.9552238805970007,0.9913302277432712,0.37570202350616455,,,,
1,Cardiomegaly,0.44629353284835815,0.627,0.9861111111111066,0.05404685835995739,0.02910233638475201,0.9926650366748141,0.947075569358178,0.4269556999206543,,,,
1,Consolidation,0.460024893283844,0.677,0.855828220858893,0.34004323155903804,0.05402788536018589,0.9816692667706705,0.6682194616977226,0.4201756417751312,,,,
1,Edema,0.4492603540420532,0.658,0.8937499999999945,0.2681025369978858,0.025167194649771202,0.99169110459433,0.735248447204969,0.4320342242717743,,,,
1,Effusion,0.4799017608165741,0.716,0.8350168350168341,0.49597776802691235,0.17756563245823384,0.9584511023176934,0.542184265010352,0.36517783999443054,,,,
1,Emphysema,0.46114280819892883,0.697,0.81927710843373,0.5027770431102883,0.03490759753593428,0.9921711899791229,0.5041407867494824,0.4395368695259094,,,,
1,Fibrosis,0.4444069266319275,0.611,0.9818181818181729,0.12956156471514832,0.016026116634515506,0.9979777553083913,0.8720238095238095,0.43559888005256653,,,,
1,Hernia,0.4308188259601593,0.592,0.9999999999999166,0.41251944012441677,0.00264026402640264,0.9999999999999997,0.5881211180124224,0.4301529824733734,,,,
1,Infiltration,0.4846409857273102,0.619,0.9762071378586418,0.05826321638355294,0.19039170192438923,0.9152119700748106,0.9481107660455487,0.30900498174177193,,,,
1,Mass,0.4607958495616913,0.603,0.9999999999999972,0.0025832766825288917,0.04838500454014787,0.9999999999999475,0.9975414078674948,0.42633992433547974,,,,
1,No Finding,0.4837183654308319,0.423,0.9999999999999998,0.0,0.5380434782608695,0.0,1.0,0.03346056088913178,,,,
1,Nodule,0.4613209366798401,0.587,0.9999999999999976,0.0023255813953488367,0.05420827389443651,0.9999999999999413,0.9978002070393375,0.421214759349823,,,,
1,Pleural_Thickening,0.4605204164981842,0.631,0.8794642857142818,0.32715884861407246,0.037552420892108265,0.989121676067687,0.6788302277432712,0.4335736036300659,,,,
1,Pneumonia,0.4465063214302063,0.636,0.8645833333333244,0.3081761006289308,0.015476412455715082,0.9945031712473569,0.6939699792960663,0.4365155100822449,,,,
1,Pneumothorax,0.46994706988334656,0.663,0.9109195402298824,0.3685636856368563,0.06369298774362064,0.9887313704107594,0.6440217391304348,0.4264865517616272,,,,
2,Atelectasis,0.4669003486633301,0.679,0.8446601941747562,0.4645133256083429,0.15843387206920098,0.9616191904047974,0.5684523809523809,0.3665848615083759,,,,
2,Cardiomegaly,0.40733397006988525,0.622,0.9212962962962921,0.3013844515441959,0.03653387185606755,0.9925471284524328,0.7048395445134575,0.39038220931839496,,,,
2,Consolidation,0.4273688495159149,0.747,0.9110429447852733,0.5036476627938394,0.074792243767313,0.9922810753260578,0.5138457556935818,0.3891057725031677,,,,
2,Edema,0.4072316884994507,0.812,0.956249999999994,0.5576109936575052,0.04370179948586117,0.9983439791814523,0.453027950310559,0.38694802742243184,,,,
2,Effusion,0.4672601819038391,0.75,0.8585858585858576,0.5714494661401198,0.20703653585926923,0.9687577485742621,0.47813146997929606,0.3524968830972725,,,,
2,Emphysema,0.422061026096344,0.741,0.8795180722891514,0.546151811690029,0.04080491894913359,0.995180722891566,0.46299171842650105,0.4003477368665778,,,,
