epoch,class,threshold_id,threshold_value,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
1,Atelectasis,0,0.410261332988739,0.654,0.8737864077669892,0.388180764774044,0.145631067961165,0.9626436781609192,0.639751552795031,0.3087519756894304,720,4224,2680,104
1,Atelectasis,1,0.41116979525935266,0.654,0.8519417475728145,0.4222190034762456,0.14964826263056916,0.9598287783997363,0.6070134575569358,0.3087519756894304,702,3989,2915,122
1,Atelectasis,2,0.4120782575299663,0.654,0.8240291262135913,0.4561123986095017,0.15313486693730263,0.9559805707346688,0.5737577639751553,0.3087519756894304,679,3755,3149,145
1,Atelectasis,3,0.41298671980057994,0.654,0.7973300970873777,0.4915990730011587,0.15766738660907123,0.9531030609379385,0.5392080745341615,0.3087519756894304,657,3510,3394,167
1,Atelectasis,4,0.4138951820711936,0.654,0.7730582524271835,0.5189745075318655,0.16093986862051538,0.9503978779840847,0.5121635610766045,0.3087519756894304,637,3321,3583,187
1,Atelectasis,5,0.4148036443418072,0.654,0.7487864077669893,0.5501158748551563,0.16572656459844207,0.9483146067415729,0.4817546583850932,0.3087519756894304,617,3106,3798,207
1,Atelectasis,6,0.41571210661242086,0.654,0.7135922330097079,0.5786500579374275,0.16814412353445807,0.9442212242968563,0.4525103519668737,0.3087519756894304,588,2909,3995,236
1,Atelectasis,7,0.4166205688830345,0.654,0.6711165048543681,0.6012456546929316,0.16727162734422257,0.9387155133423788,0.4277950310559006,0.3087519756894304,553,2753,4151,271
1,Atelectasis,8,0.41752903115364814,0.654,0.6395631067961157,0.6276071842410196,0.17010974822466102,0.9358531317494598,0.400879917184265,0.3087519756894304,527,2571,4333,297
1,Atelectasis,9,0.4184374934242618,0.654,0.6067961165048537,0.651361529548088,0.17199862401100785,0.9327940261356563,0.3761645962732919,0.3087519756894304,500,2407,4497,324
1,Atelectasis,10,0.4193459556948754,0.654,0.567961165048543,0.6751158748551563,0.1726300258207303,0.9290412597169622,0.3508022774327122,0.3087519756894304,468,2243,4661,356
1,Atelectasis,11,0.42025441796548907,0.654,0.5291262135922323,0.6985805330243336,0.1732220897894318,0.925542122433314,0.32569875776397517,0.3087519756894304,436,2081,4823,388
1,Atelectasis,12,0.4211628802361027,0.654,0.49150485436893143,0.7197276940903823,0.17307692307692302,0.9222345953971788,0.3027950310559006,0.3087519756894304,405,1935,4969,419
1,Atelectasis,13,0.42207134250671635,0.654,0.459951456310679,0.7429026651216685,0.17595171773444745,0.9201650520272693,0.27872670807453415,0.3087519756894304,379,1775,5129,445
1,Atelectasis,14,0.42297980477733,0.654,0.4162621359223296,0.7594148319814599,0.17115768463073844,0.9159678546470997,0.2593167701863354,0.3087519756894304,343,1661,5243,481
1,Atelectasis,15,0.4238882670479436,0.654,0.3871359223300966,0.7815758980301274,0.1746031746031745,0.9144212845280459,0.23641304347826086,0.3087519756894304,319,1508,5396,505
1,Atelectasis,16,0.4247967293185572,0.654,0.348300970873786,0.8015643105446117,0.1732045866022932,0.911546697413935,0.21441511387163562,0.3087519756894304,287,1370,5534,537
1,Atelectasis,17,0.42570519158917086,0.654,0.3216019417475724,0.8251738122827346,0.18002717391304338,0.9106457800511507,0.19047619047619047,0.3087519756894304,265,1207,5697,559
1,Atelectasis,18,0.4266136538597845,0.654,0.2815533980582521,0.8428447276940902,0.17615793470007582,0.9076587115894555,0.1704192546583851,0.3087519756894304,232,1085,5819,592
