epoch,tr_loss,tr_auc,tr_f1,val_loss,val_auc,val_f1,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,No Finding,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,0.20168587910417374,0.5533196085262087,0.07905071949150874,0.17305109461151136,0.6184471035194589,0.0,0.619,0.563,0.716,0.75,0.658,0.669,0.467,0.545,0.634,0.564,0.351,0.524,0.564,0.679,0.634
2,0.1969034104970451,0.6443463869354569,0.16927007449742862,0.1640632158147346,0.6776626873523507,0.10283129564568108,0.662,0.592,0.746,0.806,0.725,0.711,0.625,0.627,0.65,0.638,0.555,0.593,0.66,0.711,0.691
3,0.19768551846274157,0.6496853770345086,0.18852996837502473,0.16483189017069586,0.6912621561535747,0.11343654825344097,0.691,0.638,0.757,0.82,0.773,0.698,0.671,0.714,0.654,0.627,0.693,0.594,0.653,0.712,0.698
4,0.19337086784378898,0.6961496953407613,0.21510237376408894,0.16188027521648216,0.7280845398182619,0.15941520531698009,0.719,0.608,0.776,0.833,0.823,0.779,0.693,0.701,0.668,0.707,0.734,0.644,0.716,0.724,0.776
5,0.19144610184538208,0.7229762448639343,0.20924618782507529,0.15981123636173286,0.7455928430076599,0.16356617265443937,0.738,0.628,0.784,0.847,0.844,0.815,0.7,0.732,0.677,0.734,0.745,0.655,0.738,0.732,0.801
6,0.18944322552170836,0.7411830040853801,0.19173614961828925,0.15872094785432297,0.7620456156618929,0.15584751409327305,0.747,0.694,0.786,0.859,0.853,0.845,0.707,0.754,0.682,0.762,0.751,0.67,0.75,0.735,0.816
7,0.18700916766536732,0.7651709586925639,0.19373135850465134,0.15801487292848218,0.7791516942905845,0.15333712191361432,0.758,0.794,0.79,0.868,0.859,0.863,0.717,0.769,0.686,0.784,0.757,0.681,0.758,0.741,0.829
8,0.18565842877727595,0.7807157892356745,0.2043305090344725,0.15769065289943499,0.791045480926136,0.16068088904308658,0.767,0.857,0.794,0.876,0.864,0.872,0.733,0.776,0.689,0.798,0.761,0.687,0.764,0.747,0.837
9,0.18420795904599363,0.7940101278590354,0.21160927424572049,0.15766851708209542,0.7976679459505137,0.16584655220085287,0.775,0.879,0.797,0.879,0.867,0.879,0.749,0.787,0.692,0.804,0.763,0.688,0.77,0.749,0.84
10,0.18251161530636204,0.805335625145908,0.21346816682036088,0.15798498528277993,0.8004802777460628,0.16733136074458918,0.78,0.886,0.799,0.881,0.868,0.885,0.755,0.798,0.694,0.805,0.764,0.688,0.773,0.747,0.844
11,0.18090943978033536,0.8163729679562203,0.21876947845782294,0.15831081769014754,0.8021691465060623,0.16952756082533385,0.783,0.884,0.799,0.881,0.87,0.888,0.764,0.813,0.695,0.807,0.766,0.691,0.777,0.744,0.845
12,0.17884432743379106,0.8266884579464373,0.21830001907741645,0.1586802660868547,0.8030646277057565,0.17031542132236044,0.786,0.885,0.8,0.88,0.87,0.889,0.767,0.808,0.695,0.807,0.767,0.691,0.78,0.744,0.846
13,0.17631327861020257,0.8396036353680872,0.21986056150713143,0.1588604849060333,0.8026062552796495,0.1705320451728331,0.787,0.887,0.799,0.877,0.87,0.886,0.767,0.801,0.695,0.806,0.768,0.693,0.78,0.739,0.848
14,0.17422611268680593,0.8491575601739382,0.22448512556443237,0.1589969000287992,0.802081876422223,0.1725160930136359,0.787,0.887,0.799,0.878,0.869,0.886,0.765,0.82,0.697,0.804,0.769,0.692,0.782,0.733,0.848
15,0.1716057923418086,0.8594766688743313,0.2326572396456253,0.15916083333717182,0.800282262704083,0.17392725066554782,0.786,0.887,0.798,0.88,0.869,0.88,0.765,0.813,0.697,0.802,0.769,0.69,0.779,0.725,0.846
16,0.16927364639118364,0.8675614106455384,0.2471368905518362,0.15919403556836678,0.7979906904950719,0.1749810877702892,0.786,0.884,0.798,0.878,0.869,0.875,0.758,0.826,0.698,0.797,0.769,0.687,0.779,0.719,0.847
17,0.166325181059182,0.8793080065266906,0.2671050665948897,0.15941998281136618,0.7956464838291435,0.17926493889597195,0.786,0.882,0.796,0.876,0.868,0.869,0.756,0.82,0.7,0.795,0.769,0.685,0.776,0.707,0.847
18,0.16416109622201017,0.8853103659993941,0.28157460133763423,0.15956989690861825,0.7940438172883394,0.18107775380167832,0.784,0.884,0.795,0.876,0.867,0.87,0.754,0.823,0.701,0.787,0.769,0.682,0.772,0.707,0.845
19,0.16210730177521837,0.8943577495920775,0.29053692931818376,0.1597051742954624,0.7912480853443161,0.18126704094749913,0.781,0.883,0.792,0.873,0.866,0.863,0.755,0.808,0.701,0.782,0.769,0.679,0.767,0.703,0.842
20,0.15977239065872065,0.9009287981838411,0.3064125209876485,0.15987211781194424,0.7886347311992655,0.18250617883790468,0.779,0.881,0.79,0.867,0.864,0.861,0.753,0.797,0.701,0.781,0.768,0.678,0.759,0.698,0.839
